,tract,serial_number,repeat_index,age,sex,individual_income
0,301,2011000003093,0,35-64,M,40000-80000
1,302,2011000003093,0,35-64,M,40000-80000
2,402,2011000003093,0,35-64,M,40000-80000
3,500,2011000003093,0,35-64,M,40000-80000
4,700,2011000003093,0,35-64,M,<=0
5,800,2011000003093,0,35-64,M,20000-40000
6,901,2011000003093,0,35-64,M,<=0
7,902,2011000003093,0,35-64,M,0-20000
8,1000,2011000003093,0,35-64,M,100000+
9,1100,2011000003093,0,35-64,M,40000-80000
10,1201,2011000003093,0,35-64,M,0-20000
11,1203,2011000003093,0,35-64,M,20000-40000
12,1204,2011000003093,0,35-64,M,20000-40000
13,1205,2011000003093,0,35-64,M,20000-40000
14,1301,2011000003093,0,35-64,M,40000-80000
15,1302,2011000003093,0,35-64,M,40000-80000
16,1400,2011000003093,0,35-64,M,<=0
17,5300,2011000003093,0,35-64,M,0-20000
18,5401,2011000003093,0,35-64,M,40000-80000
19,5402,2011000003093,0,35-64,M,<=0
20,5500,2011000003093,0,35-64,M,20000-40000
21,5600,2011000003093,0,35-64,M,0-20000
22,5701,2011000003093,0,35-64,M,40000-80000
23,5702,2011000003093,0,35-64,M,20000-40000
24,5800,2011000003093,0,35-64,M,0-20000
25,10100,2011000003093,0,35-64,M,0-20000
26,10204,2011000003093,0,35-64,M,80000-100000
27,10300,2011000003093,0,35-64,M,20000-40000
28,10400,2011000003093,0,35-64,M,20000-40000
29,10500,2011000003093,0,35-64,M,40000-80000
30,10601,2011000003093,0,35-64,M,40000-80000
31,10603,2011000003093,0,35-64,M,<=0
32,10604,2011000003093,0,35-64,M,40000-80000
33,10700,2011000003093,0,35-64,M,40000-80000
34,10800,2011000003093,0,35-64,M,80000-100000
35,10900,2011000003093,0,35-64,M,0-20000
36,11000,2011000003093,0,35-64,M,40000-80000
37,301,2011000003093,0,35-64,F,100000+
38,302,2011000003093,0,35-64,F,<=0
39,402,2011000003093,0,35-64,F,40000-80000
40,500,2011000003093,0,35-64,F,20000-40000
41,700,2011000003093,0,35-64,F,<=0
42,800,2011000003093,0,35-64,F,<=0
43,901,2011000003093,0,35-64,F,<=0
44,902,2011000003093,0,35-64,F,<=0
45,1000,2011000003093,0,35-64,F,20000-40000
46,1100,2011000003093,0,35-64,F,<=0
47,1201,2011000003093,0,35-64,F,<=0
48,1203,2011000003093,0,35-64,F,0-20000
49,1204,2011000003093,0,35-64,F,20000-40000
50,1205,2011000003093,0,35-64,F,0-20000
51,1301,2011000003093,0,35-64,F,0-20000
52,1302,2011000003093,0,35-64,F,20000-40000
53,1400,2011000003093,0,35-64,F,0-20000
54,5300,2011000003093,0,35-64,F,0-20000
55,5401,2011000003093,0,35-64,F,<=0
56,5402,2011000003093,0,35-64,F,<=0
57,5500,2011000003093,0,35-64,F,40000-80000
58,5600,2011000003093,0,35-64,F,<=0
59,5701,2011000003093,0,35-64,F,<=0
60,5702,2011000003093,0,35-64,F,0-20000
61,5800,2011000003093,0,35-64,F,<=0
62,10100,2011000003093,0,35-64,F,20000-40000
63,10204,2011000003093,0,35-64,F,20000-40000
64,10300,2011000003093,0,35-64,F,<=0
65,10400,2011000003093,0,35-64,F,40000-80000
66,10500,2011000003093,0,35-64,F,20000-40000
67,10601,2011000003093,0,35-64,F,<=0
68,10603,2011000003093,0,35-64,F,40000-80000
69,10604,2011000003093,0,35-64,F,0-20000
70,10700,2011000003093,0,35-64,F,80000-100000
71,10800,2011000003093,0,35-64,F,20000-40000
72,10900,2011000003093,0,35-64,F,<=0
73,11000,2011000003093,0,35-64,F,<=0
74,301,2011000003093,0,0-17,F,<=0
75,302,2011000003093,0,0-17,F,<=0
76,402,2011000003093,0,0-17,F,<=0
77,500,2011000003093,0,0-17,F,0-20000
78,700,2011000003093,0,0-17,F,<=0
79,800,2011000003093,0,0-17,F,<=0
80,901,2011000003093,0,0-17,F,<=0
81,902,2011000003093,0,0-17,F,<=0
82,1000,2011000003093,0,0-17,F,<=0
83,1100,2011000003093,0,0-17,F,0-20000
84,1201,2011000003093,0,0-17,F,<=0
85,1203,2011000003093,0,0-17,F,<=0
86,1204,2011000003093,0,0-17,F,<=0
87,1205,2011000003093,0,0-17,F,<=0
88,1301,2011000003093,0,0-17,F,<=0
89,1302,2011000003093,0,0-17,F,0-20000
90,1400,2011000003093,0,0-17,F,<=0
91,5300,2011000003093,0,0-17,F,<=0
92,5401,2011000003093,0,0-17,F,<=0
93,5402,2011000003093,0,0-17,F,<=0
94,5500,2011000003093,0,0-17,F,<=0
95,5600,2011000003093,0,0-17,F,<=0
96,5701,2011000003093,0,0-17,F,<=0
97,5702,2011000003093,0,0-17,F,<=0
