"","SERIALNO","PUMA","WGTP","NP","VEH","FINCP"
0,4160,2100,60,2,2,56000
1,5127,2100,74,2,2,10200
2,6361,2100,69,3,2,88000
3,7014,2100,22,1,1,19600
4,9650,2100,120,3,3,16600
5,10511,2100,0,1,0,0
6,10963,2100,0,1,0,0
7,13958,2100,0,1,0,0
8,15101,2100,27,4,3,116800
9,15315,2100,0,1,0,0
10,16145,2100,12,4,2,92000
11,20106,2100,265,1,1,59000
12,20321,2100,42,2,1,800
13,20693,2100,0,1,0,0
14,20976,2100,79,4,2,92000
15,20982,2100,63,1,1,0
16,21543,2100,135,1,2,58200
17,21688,2100,0,1,0,0
18,23099,2100,67,2,2,28300
19,26405,2100,64,4,3,38000
20,27213,2100,0,1,0,0
21,27883,2100,62,1,1,26000
22,32044,2100,15,2,2,100500
23,33713,2100,83,3,2,41000
24,36288,2100,51,1,1,33900
25,38051,2100,35,3,4,599500
26,38264,2100,0,1,0,0
27,39846,2100,74,3,1,127000
28,40211,2100,111,2,2,55300
29,41744,2100,0,1,0,0
30,42106,2100,97,4,4,160000
31,42463,2100,84,2,0,1e+05
32,43630,2100,620,4,2,1000
33,44432,2100,168,2,2,180500
34,44450,2100,0,1,0,0
35,44457,2100,106,2,2,165000
36,46042,2100,54,4,2,10700
37,46761,2100,11,3,3,274000
38,47980,2100,86,3,2,48000
39,48325,2100,31,2,0,5000
40,48923,2100,64,2,2,110000
41,49337,2100,0,1,0,0
42,51048,2100,80,1,0,30130
43,52384,2100,99,1,1,24250
44,56102,2100,26,2,2,152050
45,57361,2100,68,4,2,78000
46,59021,2100,73,2,0,0
47,59684,2100,0,1,0,0
48,59907,2100,18,1,0,25000
49,60326,2100,0,1,0,0
50,63445,2100,0,1,0,0
51,63638,2100,70,1,1,60300
52,66024,2100,213,3,0,42500
53,69060,2100,47,1,2,79700
54,69572,2100,12,2,3,39500
55,71119,2100,265,3,3,36400
56,71170,2100,127,1,0,37600
57,71372,2100,209,4,3,22700
58,73942,2100,69,4,2,531300
59,75406,2100,10,2,3,104600
60,76093,2100,82,2,1,42000
61,80985,2100,29,1,2,56000
62,82179,2100,67,3,1,140000
63,83228,2100,132,3,3,110000
64,83528,2100,118,1,1,29940
65,86079,2100,147,3,2,199200
66,86859,2100,82,1,1,34100
67,89815,2100,17,2,3,60100
68,91742,2100,42,1,0,7300
69,95107,2100,68,1,0,0
70,95776,2100,23,2,2,25100
71,95978,2100,47,3,2,86000
72,96768,2100,13,0,0,0
73,97505,2100,0,1,0,0
74,100421,2100,61,4,0,9000
75,102986,2100,0,1,0,0
76,106765,2100,57,2,3,213000
77,107422,2100,106,1,1,83400
78,108810,2100,64,1,0,15020
79,111886,2100,0,1,0,0
80,116017,2100,126,0,0,0
81,116333,2100,156,2,3,108300
82,116883,2100,67,2,2,73900
83,117084,2100,421,1,1,23000
84,118559,2100,76,1,1,23300
85,118721,2100,27,5,2,60000
86,118777,2100,123,3,3,87300
87,119818,2100,10,3,3,51300
88,123006,2100,0,1,0,0
89,123270,2100,58,1,1,19000
90,123518,2100,0,1,0,0
91,123698,2100,62,2,1,36000
92,127747,2100,412,3,2,57000
93,127883,2100,118,0,0,0
94,128503,2100,56,0,0,0
95,129304,2100,119,4,2,95450
96,130140,2100,69,4,0,10000
97,130672,2100,153,1,1,87000
98,131339,2100,138,5,2,50100
99,133435,2100,0,1,0,0
100,133863,2100,134,3,2,103000
101,134100,2100,193,2,2,16500
102,134502,2100,95,2,2,32400
103,135118,2100,12,3,2,46000
104,136826,2100,25,1,1,86000
105,138925,2100,16,4,2,90000
106,140885,2100,12,2,3,100900
107,141316,2100,66,4,0,17100
108,142724,2100,44,1,1,19800
109,142766,2100,120,2,3,59400
110,144233,2100,302,1,0,0
111,144495,2100,89,4,2,167700
112,145172,2100,0,1,0,0
113,145383,2100,109,1,1,84000
114,146086,2100,0,1,0,0
115,146300,2100,0,1,0,0
116,146548,2100,85,1,1,32800
117,146646,2100,48,4,1,58400
118,147954,2100,0,1,0,0
119,150284,2100,88,2,3,116000
120,153695,2100,144,2,1,65200
121,153812,2100,94,1,0,6000
122,154426,2100,32,2,2,120000
123,157027,2100,83,1,1,76000
124,157979,2100,184,2,1,24000
125,158689,2100,83,2,2,33000
126,160210,2100,0,1,0,0
127,162632,2100,134,1,0,21000
128,165175,2100,0,1,0,0
129,165869,2100,68,0,0,0
130,165877,2100,23,2,2,83400
131,167548,2100,121,1,1,14400
132,167730,2100,0,1,0,0
133,168020,2100,93,3,4,64000
134,170356,2100,202,1,1,24000
135,170860,2100,86,1,1,55000
136,171506,2100,226,1,0,17000
137,171887,2100,84,2,2,69000
138,171898,2100,76,2,2,75000
139,172264,2100,168,1,1,28000
140,172642,2100,27,1,1,42800
141,176901,2100,24,2,2,111000
142,177648,2100,0,1,0,0
143,178963,2100,79,1,2,76100
144,178964,2100,30,2,2,101000
145,179938,2100,88,12,5,157000
146,180825,2100,0,1,0,0
147,181550,2100,105,1,2,0
148,182811,2100,62,2,2,158000
149,186113,2100,219,2,0,3300
150,188868,2100,82,2,2,57010
151,189300,2100,90,1,0,13004
152,189436,2100,28,3,3,69000
153,192835,2100,74,1,1,15000
154,195799,2100,0,1,0,0
155,196158,2100,76,1,2,50000
156,196708,2100,22,2,2,80900
157,198161,2100,77,3,3,30710
158,199289,2100,151,2,2,59000
159,202329,2100,0,1,0,0
160,202431,2100,40,4,4,132200
161,202972,2100,45,2,4,140008
162,203540,2100,72,2,1,56800
163,206110,2100,89,2,0,120000
164,206579,2100,67,2,2,50100
165,206808,2100,0,1,0,0
166,208946,2100,0,1,0,0
167,209899,2100,0,1,0,0
168,211837,2100,236,0,0,0
169,213245,2100,87,4,2,51100
170,213351,2100,87,1,1,1700
171,216227,2100,171,1,0,9000
172,218389,2100,0,1,0,0
173,219933,2100,0,1,0,0
174,220073,2100,146,5,2,18300
175,220866,2100,0,1,0,0
176,223435,2100,0,1,0,0
177,223638,2100,370,5,1,114000
178,223696,2100,268,1,1,22000
179,225804,2100,85,1,0,0
180,227008,2100,0,1,0,0
181,228163,2100,19,3,4,85000
182,228318,2100,143,1,1,45000
183,229028,2100,0,1,0,0
184,230840,2100,49,1,1,22000
185,231539,2100,0,1,0,0
186,232048,2100,212,0,0,0
187,233685,2100,126,2,1,55000
188,235408,2100,0,1,0,0
189,239250,2100,72,1,1,5000
190,241584,2100,164,4,2,110360
191,243995,2100,0,1,0,0
192,245983,2100,72,4,0,4100
193,246208,2100,75,2,1,95400
194,248304,2100,21,2,3,61000
195,253228,2100,67,2,0,29000
196,254183,2100,68,1,0,8000
197,254640,2100,28,1,1,12600
198,255604,2100,0,1,0,0
199,257091,2100,66,2,2,59500
200,260128,2100,140,2,0,25220
201,260313,2100,86,2,1,56040
202,260951,2100,0,1,0,0
203,263374,2100,149,1,1,33800
204,263604,2100,0,1,0,0
205,264154,2100,33,0,0,0
206,264534,2100,73,1,1,25000
207,265105,2100,69,1,0,96000
208,265591,2100,71,3,2,50000
209,266711,2100,271,1,1,73000
210,268869,2100,149,1,1,15700
211,269326,2100,118,2,1,50000
212,270468,2100,0,1,0,0
213,271056,2100,40,1,1,101700
214,271180,2100,66,1,2,81800
215,273496,2100,0,1,0,0
216,274765,2100,37,1,1,148200
217,276626,2100,232,0,0,0
218,277512,2100,115,2,2,10500
219,279014,2100,52,2,0,18700
220,279193,2100,0,1,0,0
221,280038,2100,0,1,0,0
222,280792,2100,133,1,1,38800
223,285674,2100,0,1,0,0
224,287202,2100,237,0,0,0
225,287937,2100,142,1,1,42600
226,288424,2100,74,1,1,51000
227,290039,2100,0,1,0,0
228,290659,2100,68,1,0,700
229,292043,2100,0,1,0,0
230,292903,2100,68,3,0,15000
231,293609,2100,14,3,2,59200
232,294516,2100,118,2,2,70500
233,297143,2100,114,2,3,76500
234,297260,2100,37,3,3,110000
235,297763,2100,134,1,0,36000
236,298917,2100,225,6,2,15900
237,299387,2100,43,2,2,635000
238,303489,2100,59,2,2,93500
239,303873,2100,189,3,1,28700
240,304245,2100,0,1,0,0
241,307361,2100,184,3,3,228500
242,307532,2100,70,5,2,151600
243,309189,2100,62,2,0,22500
244,310636,2100,58,1,1,55000
245,311350,2100,26,2,1,20400
246,313421,2100,0,1,0,0
247,314455,2100,0,1,0,0
248,314471,2100,71,3,2,119000
249,315614,2100,88,2,2,143000
250,315961,2100,84,1,1,65000
251,315978,2100,70,2,1,21000
252,317985,2100,131,1,0,0
253,318143,2100,132,3,3,36361
254,319424,2100,9,1,0,8700
255,320009,2100,46,1,0,3500
256,321210,2100,191,1,1,22010
257,323178,2100,0,1,0,0
258,323381,2100,0,1,0,0
259,323855,2100,0,1,0,0
260,324463,2100,338,6,0,39000
261,326303,2100,0,1,0,0
262,326686,2100,127,3,3,39400
263,326972,2100,0,1,0,0
264,326983,2100,66,0,0,0
265,327003,2100,0,1,0,0
266,327511,2100,0,1,0,0
267,328063,2100,0,1,0,0
268,329135,2100,0,1,0,0
269,329382,2100,88,1,2,20
270,330585,2100,143,3,3,53900
271,333032,2100,453,2,2,56400
272,335817,2100,0,1,0,0
273,336156,2100,145,1,1,26000
274,337489,2100,83,1,2,10000
275,340470,2100,154,4,3,147750
276,341143,2100,114,2,3,370200
277,343541,2100,80,1,1,24000
278,348174,2100,100,1,0,25000
279,348787,2100,61,3,2,30000
280,348915,2100,23,1,1,31000
281,351884,2100,0,1,0,0
282,352385,2100,385,0,0,0
283,353335,2100,0,1,0,0
284,354617,2100,74,2,2,86450
285,357704,2100,450,5,2,130000
286,358255,2100,26,1,1,28900
287,358359,2100,84,2,2,71500
288,360674,2100,161,2,2,78000
289,362726,2100,202,1,1,24600
290,364122,2100,0,1,0,0
291,367954,2100,0,1,0,0
292,368542,2100,0,1,0,0
293,370661,2100,143,3,3,31000
294,373126,2100,0,1,0,0
295,373251,2100,121,1,2,35000
296,377007,2100,136,1,1,45000
297,377673,2100,224,2,1,0
298,378962,2100,0,1,0,0
299,379393,2100,21,1,1,10000
300,382256,2100,27,2,4,108000
301,383777,2100,171,0,0,0
302,384245,2100,170,3,4,879000
303,384730,2100,88,4,0,35300
304,385403,2100,136,2,2,118000
305,388944,2100,63,2,3,57000
306,389830,2100,16,2,2,45400
307,392450,2100,116,2,1,42600
308,393625,2100,252,1,1,30000
309,393908,2100,0,1,0,0
310,396479,2100,30,2,2,105500
311,399936,2100,152,2,2,195300
312,400912,2100,55,1,0,0
313,402083,2100,38,2,2,130040
314,402243,2100,17,1,2,66700
315,406596,2100,0,1,0,0
316,407681,2100,10,2,2,46900
317,408722,2100,0,1,0,0
318,409317,2100,0,1,0,0
319,410889,2100,0,1,0,0
320,411786,2100,140,1,1,44000
321,412656,2100,159,0,0,0
322,413864,2100,123,1,2,25000
323,414972,2100,123,2,2,49000
324,415566,2100,77,0,0,0
325,419137,2100,69,1,1,40030
326,423179,2100,23,1,0,13220
327,424048,2100,120,2,1,18400
328,425510,2100,142,1,0,21000
329,426460,2100,0,1,0,0
330,426712,2100,0,1,0,0
331,427506,2100,0,1,0,0
332,428254,2100,70,2,2,10000
333,434519,2100,180,1,1,30000
334,436245,2100,74,3,0,6000
335,436269,2100,114,1,1,23000
336,436846,2100,0,1,0,0
337,442724,2100,265,1,0,6000
338,443150,2100,65,2,2,28000
339,444027,2100,30,1,1,38400
340,445086,2100,125,4,1,20000
341,447197,2100,149,2,3,34990
342,448826,2100,79,2,4,547500
343,449628,2100,175,1,0,50000
344,450969,2100,118,2,1,0
345,452257,2100,0,1,0,0
346,453410,2100,73,2,2,57000
347,453539,2100,0,1,0,0
348,453621,2100,0,1,0,0
349,453937,2100,66,2,2,78000
350,456106,2100,23,2,1,73000
351,456785,2100,26,5,3,125700
352,460912,2100,53,1,0,30000
353,461037,2100,127,2,1,41000
354,461705,2100,115,2,2,45500
355,463012,2100,79,4,2,79000
356,463015,2100,23,1,1,50700
357,463150,2100,67,2,3,215000
358,463290,2100,165,1,1,26000
359,463681,2100,128,1,1,57600
360,463837,2100,71,1,1,35000
361,464640,2100,94,3,2,222000
362,464961,2100,30,2,3,104000
363,467385,2100,0,1,0,0
364,468523,2100,23,1,1,36600
365,472156,2100,0,1,0,0
366,472881,2100,67,2,1,151200
367,473587,2100,41,2,1,37600
368,476916,2100,83,2,0,9100
369,481736,2100,0,1,0,0
370,481977,2100,324,5,2,37060
371,482826,2100,118,2,2,81000
372,484128,2100,356,4,3,85550
373,485732,2100,71,2,2,121200
374,487602,2100,101,3,2,164100
375,488081,2100,117,6,2,34900
376,488711,2100,14,2,2,27800
377,491046,2100,34,2,1,68300
378,493685,2100,120,2,2,131350
379,494528,2100,45,6,3,128000
380,496285,2100,78,4,2,105000
381,496415,2100,101,2,2,108000
382,497189,2100,247,1,0,1600
383,498182,2100,0,1,0,0
384,498552,2100,36,2,2,120000
385,498716,2100,66,2,2,30500
386,499860,2100,134,2,2,136000
387,500334,2100,76,4,2,32000
388,503122,2100,0,1,0,0
389,503175,2100,0,1,0,0
390,504129,2100,17,3,2,202600
391,507397,2100,158,4,2,137000
392,507701,2100,16,2,2,125000
393,508769,2100,0,1,0,0
394,511433,2100,29,3,2,116500
395,514541,2100,0,1,0,0
396,514969,2100,89,1,0,10800
397,517251,2100,0,1,0,0
398,524680,2100,25,4,1,0
399,525569,2100,43,1,0,0
400,527325,2100,70,0,0,0
401,528027,2100,41,2,2,77600
402,529461,2100,26,4,2,104000
403,530937,2100,44,1,1,27620
404,532448,2100,137,2,2,122000
405,532734,2100,95,1,1,104800
406,533711,2100,122,3,2,72000
407,539778,2100,108,2,3,29000
408,539909,2100,29,2,1,8690
409,540133,2100,366,3,2,89000
410,540606,2100,0,1,0,0
411,545191,2100,67,3,3,89400
412,546108,2100,242,2,1,17000
413,548615,2100,416,1,1,0
414,549655,2100,76,3,2,105000
415,551233,2100,116,10,3,600800
416,551689,2100,16,2,2,50700
417,552885,2100,62,2,2,160600
418,555622,2100,94,2,2,93000
419,555852,2100,29,1,1,20000
420,563942,2100,28,5,2,92000
421,565847,2100,29,4,2,115004
422,566053,2100,0,1,0,0
423,566072,2100,0,1,0,0
424,567979,2100,177,4,4,10630
425,568266,2100,136,5,3,10000
426,569416,2100,78,3,3,155430
427,570576,2100,40,1,1,29000
428,571064,2100,98,2,2,84800
429,571307,2100,41,1,1,0
430,571949,2100,71,2,2,50900
431,572728,2100,0,1,0,0
432,572846,2100,61,1,1,40700
433,574193,2100,0,1,0,0
434,574371,2100,14,3,3,107200
435,575610,2100,68,1,0,16000
436,576216,2100,127,1,1,85000
437,577348,2100,124,2,2,36700
438,577993,2100,145,2,1,60000
439,579240,2100,23,4,2,66000
440,580954,2100,49,1,1,1500
441,581665,2100,175,3,1,5500
442,582288,2100,191,4,4,48700
443,585138,2100,113,2,1,98500
444,585914,2100,203,0,0,0
445,585958,2100,94,3,3,97150
446,586040,2100,141,2,1,63000
447,590561,2100,155,4,0,21000
448,591655,2100,0,1,0,0
449,592296,2100,89,2,1,4400
