"","SERIALNO","PUMA","WGTP","NP","VEH","FINCP"
0,2011000000602,2100,4,2,3,180000
1,2011000001742,2100,0,1,0,0
2,2011000003093,2100,18,4,1,1e+05
3,2011000004688,2100,23,1,1,21300
4,2011000005560,2100,13,4,2,38300
5,2011000005614,2100,5,1,2,42100
6,2011000006833,2100,5,2,2,125100
7,2011000007132,2100,18,1,1,25000
8,2011000008238,2100,2,2,2,37000
9,2011000008273,2100,27,6,1,1800
10,2011000008462,2100,5,1,1,10000
11,2011000010923,2100,5,3,3,32000
12,2011000011408,2100,11,3,1,13800
13,2011000014238,2100,19,1,1,19000
14,2011000016858,2100,25,4,0,7000
15,2011000017155,2100,68,0,0,0
16,2011000018598,2100,17,1,0,7490
17,2011000018749,2100,28,2,2,94800
18,2011000019061,2100,36,1,1,0
19,2011000026513,2100,52,2,1,30000
20,2011000027837,2100,10,2,0,40000
21,2011000028406,2100,24,3,1,32300
22,2011000029859,2100,26,2,2,64890
23,2011000030266,2100,15,3,1,27500
24,2011000030857,2100,11,1,1,23200
25,2011000033764,2100,3,2,2,52000
26,2011000039043,2100,4,5,2,144000
27,2011000042949,2100,0,1,0,0
28,2011000044052,2100,0,1,0,0
29,2011000044893,2100,0,1,0,0
30,2011000045334,2100,12,2,3,102500
31,2011000046989,2100,18,3,2,20000
32,2011000049896,2100,0,1,0,0
33,2011000050450,2100,15,2,3,50480
34,2011000051057,2100,23,3,2,98000
35,2011000051402,2100,66,1,1,0
36,2011000052976,2100,0,1,0,0
37,2011000055522,2100,4,3,3,110200
38,2011000056628,2100,21,0,0,0
39,2011000057583,2100,13,1,0,32000
40,2011000059646,2100,39,2,1,48000
41,2011000062951,2100,0,1,0,0
42,2011000065489,2100,5,5,2,39000
43,2011000066752,2100,6,0,0,0
44,2011000068141,2100,0,1,0,0
45,2011000068471,2100,13,4,2,205100
46,2011000070620,2100,14,3,1,75500
47,2011000071569,2100,0,1,0,0
48,2011000071974,2100,0,1,0,0
49,2011000072351,2100,25,2,2,60000
50,2011000072599,2100,93,2,3,78000
51,2011000073691,2100,6,2,2,94200
52,2011000077754,2100,35,3,1,48000
53,2011000079997,2100,16,1,1,106000
54,2011000080675,2100,0,1,0,0
55,2011000082496,2100,19,2,1,24000
56,2011000084748,2100,5,2,2,85880
57,2011000085061,2100,28,4,3,85710
58,2011000085386,2100,22,2,1,50000
59,2011000085996,2100,0,1,0,0
60,2011000088478,2100,6,4,3,78000
61,2011000088586,2100,20,2,2,150000
62,2011000089359,2100,9,3,3,509000
63,2011000089769,2100,4,1,1,75000
64,2011000092131,2100,12,2,1,7100
65,2011000093204,2100,30,1,1,24000
66,2011000093411,2100,0,1,0,0
67,2011000094463,2100,22,2,2,145300
68,2011000094748,2100,0,1,0,0
69,2011000096949,2100,20,2,2,82200
70,2011000100835,2100,14,1,1,29000
71,2011000101153,2100,4,2,2,122400
72,2011000101233,2100,44,0,0,0
73,2011000101635,2100,17,1,0,8100
74,2011000102156,2100,11,2,2,160000
75,2011000104567,2100,40,1,2,80
76,2011000105098,2100,23,5,2,25000
77,2011000106280,2100,21,1,0,35000
78,2011000106818,2100,0,1,0,0
79,2011000107552,2100,19,2,2,65000
80,2011000109395,2100,3,3,1,16400
81,2011000109803,2100,60,1,1,43000
82,2011000110194,2100,9,1,1,18700
83,2011000110745,2100,24,3,2,105600
84,2011000113571,2100,5,3,1,20000
85,2011000113806,2100,16,2,1,83500
86,2011000114531,2100,20,3,2,0
87,2011000120045,2100,12,1,1,36440
88,2011000121588,2100,52,1,1,12870
89,2011000123662,2100,16,0,0,0
90,2011000124207,2100,0,1,0,0
91,2011000125240,2100,14,2,2,234800
92,2011000126361,2100,21,1,1,70000
93,2011000129244,2100,0,1,0,0
94,2011000129655,2100,0,1,0,0
95,2011000130925,2100,26,1,0,6600
96,2011000131838,2100,0,1,0,0
97,2011000132344,2100,20,5,2,52800
98,2011000136656,2100,95,3,0,5200
99,2011000136941,2100,6,3,2,96000
100,2011000138058,2100,21,2,2,103100
101,2011000138303,2100,17,1,1,67800
102,2011000139699,2100,16,2,2,8100
103,2011000140235,2100,12,5,4,187700
104,2011000140963,2100,28,4,1,18200
105,2011000143091,2100,18,2,0,36600
106,2011000144362,2100,11,2,1,90200
107,2011000145097,2100,24,5,2,240500
108,2011000145715,2100,0,1,0,0
109,2011000146056,2100,18,4,1,91200
110,2011000146161,2100,13,1,1,43000
111,2011000148627,2100,6,1,2,2e+05
112,2011000149829,2100,20,0,0,0
113,2011000152533,2100,2,2,1,24500
114,2011000153211,2100,0,1,0,0
115,2011000155539,2100,0,1,0,0
116,2011000156150,2100,0,1,0,0
117,2011000157265,2100,0,1,0,0
118,2011000157581,2100,7,2,3,109400
119,2011000161699,2100,13,1,0,0
120,2011000165234,2100,6,1,1,0
121,2011000170738,2100,12,2,2,56000
122,2011000171814,2100,0,1,0,0
123,2011000173743,2100,12,5,3,741200
124,2011000173831,2100,0,1,0,0
125,2011000175839,2100,13,1,0,21200
126,2011000176669,2100,24,1,2,60000
127,2011000178306,2100,5,4,3,97400
128,2011000179576,2100,4,3,2,58000
129,2011000179583,2100,0,1,0,0
130,2011000180798,2100,12,3,3,133500
131,2011000181300,2100,0,1,0,0
132,2011000183631,2100,10,4,2,71500
133,2011000183814,2100,0,1,0,0
134,2011000185425,2100,9,4,2,47850
135,2011000189399,2100,18,2,2,135700
136,2011000190218,2100,14,2,3,32500
137,2011000190410,2100,6,3,2,36600
138,2011000191795,2100,60,2,0,4800
139,2011000192218,2100,11,3,2,50000
140,2011000192716,2100,3,3,2,81500
141,2011000194587,2100,9,2,1,22000
142,2011000195944,2100,24,5,3,76000
143,2011000196385,2100,12,1,0,88000
144,2011000198081,2100,5,3,2,75000
145,2011000198249,2100,23,5,4,83300
146,2011000198546,2100,88,4,1,25000
147,2011000198638,2100,24,3,1,25950
148,2011000199389,2100,0,1,0,0
149,2011000199910,2100,14,1,1,30000
