"","SERIALNO","PUMA","WGTP","NP","VEH","FINCP"
0,3474,2100,77,1,1,72610
1,3637,2100,68,0,0,0
2,5235,2100,183,3,2,102200
3,8735,2100,122,0,0,0
4,9650,2100,74,3,3,23900
5,11823,2100,243,4,2,55000
6,12471,2100,54,2,0,0
7,13236,2100,122,3,2,228540
8,13531,2100,18,2,3,33700
9,14113,2100,53,1,2,1e+05
10,15838,2100,151,2,1,165000
11,17212,2100,116,1,1,43000
12,17569,2100,316,1,2,45000
13,19392,2100,68,3,3,94400
14,19433,2100,16,4,3,106000
15,19554,2100,32,1,1,22000
16,19641,2100,105,1,1,35600
17,19727,2100,196,1,2,70000
18,21395,2100,79,3,3,120000
19,24038,2100,0,1,0,0
20,24083,2100,0,1,0,0
21,25419,2100,161,4,2,55000
22,25494,2100,71,2,2,47000
23,25638,2100,48,3,3,128150
24,27835,2100,26,2,2,98304
25,30070,2100,0,1,0,0
26,31385,2100,0,1,0,0
27,31561,2100,0,1,0,0
28,32216,2100,27,1,0,0
29,34086,2100,86,2,1,69400
30,34548,2100,139,1,1,30400
31,35337,2100,32,0,0,0
32,35392,2100,20,1,1,47704
33,37783,2100,154,4,2,240000
34,38367,2100,0,1,0,0
35,47254,2100,0,1,0,0
36,55887,2100,127,3,2,34000
37,58854,2100,108,1,1,41700
38,60114,2100,26,2,3,89500
39,60246,2100,139,1,1,26000
40,61025,2100,23,1,1,74000
41,61396,2100,295,0,0,0
42,65605,2100,0,1,0,0
43,67573,2100,24,1,1,0
44,68055,2100,133,1,1,64001
45,69334,2100,133,1,1,2820
46,70087,2100,0,1,0,0
47,71023,2100,0,1,0,0
48,74086,2100,109,2,2,68600
49,74613,2100,58,0,0,0
50,75964,2100,0,1,0,0
51,77371,2100,28,4,0,6600
52,81674,2100,0,1,0,0
53,89904,2100,0,1,0,0
54,89938,2100,96,2,2,34000
55,89972,2100,0,1,0,0
56,90744,2100,28,1,1,28700
57,90929,2100,26,0,0,0
58,94192,2100,114,3,3,113000
59,95462,2100,87,4,4,38120
60,99790,2100,10,2,1,10600
61,100720,2100,137,2,3,1010000
62,101072,2100,76,3,1,18000
63,101242,2100,23,5,2,70000
64,105042,2100,22,0,0,0
65,105801,2100,69,5,1,57700
66,106165,2100,18,1,1,61000
67,106609,2100,25,4,2,60600
68,106850,2100,179,1,0,80000
69,107599,2100,0,1,0,0
70,108570,2100,89,1,1,17410
71,108713,2100,413,1,1,45000
72,111438,2100,132,3,2,231040
73,114402,2100,0,1,0,0
74,114403,2100,63,2,1,41900
75,117418,2100,117,1,1,27000
76,119550,2100,151,4,2,185000
77,120756,2100,0,1,0,0
78,123386,2100,0,1,0,0
79,123637,2100,150,2,1,26400
80,123898,2100,69,2,0,0
81,124445,2100,89,3,3,109300
82,124463,2100,275,1,0,16000
83,125171,2100,0,1,0,0
84,127258,2100,65,3,3,105500
85,129617,2100,143,1,1,61000
86,129741,2100,0,1,0,0
87,129950,2100,112,3,2,62300
88,130242,2100,129,2,2,128300
89,131853,2100,87,1,1,14000
90,133002,2100,98,1,1,23000
91,135671,2100,0,1,0,0
92,137407,2100,93,4,2,78100
93,139920,2100,74,3,3,161050
94,144453,2100,123,2,1,8500
95,146269,2100,28,2,2,129334
96,146412,2100,67,1,1,18600
97,148513,2100,146,1,1,37200
98,149761,2100,0,1,0,0
99,151200,2100,350,0,0,0
100,152339,2100,46,3,0,26000
101,153452,2100,129,1,2,85000
102,153865,2100,32,2,1,75650
103,155405,2100,69,2,2,13600
104,156136,2100,159,1,1,0
105,160877,2100,122,2,2,26200
106,161490,2100,91,2,2,66001
107,162783,2100,0,1,0,0
108,162792,2100,0,1,0,0
109,166996,2100,160,2,1,53300
110,167484,2100,27,2,1,101600
111,168614,2100,81,2,3,264000
112,172351,2100,128,2,1,34000
113,174298,2100,0,1,0,0
114,177646,2100,0,1,0,0
115,179981,2100,36,3,1,1430
116,181028,2100,358,1,2,30000
117,182464,2100,115,1,1,144000
118,184841,2100,313,2,1,61150
119,186167,2100,220,2,2,60000
120,187492,2100,13,1,1,32400
121,187735,2100,126,1,0,47000
122,188068,2100,0,1,0,0
123,188925,2100,0,1,0,0
124,191073,2100,458,1,1,0
125,191528,2100,80,3,2,40000
126,193179,2100,27,2,3,39500
127,193749,2100,117,2,2,43700
128,194364,2100,23,2,2,130500
129,196691,2100,145,2,2,19400
130,198515,2100,155,3,3,120200
131,199107,2100,285,1,1,34000
132,201723,2100,21,2,2,109700
133,203643,2100,75,3,2,135000
134,204862,2100,147,1,1,44000
135,208427,2100,82,1,1,26500
136,208494,2100,0,1,0,0
137,208661,2100,0,1,0,0
138,209408,2100,195,1,0,100
139,211661,2100,20,1,1,43000
140,211896,2100,354,0,0,0
141,214054,2100,79,4,2,106050
142,215430,2100,330,0,0,0
143,216007,2100,179,1,1,25000
144,216225,2100,185,4,2,79000
145,217933,2100,0,1,0,0
146,220075,2100,0,1,0,0
147,221361,2100,95,9,2,56000
148,224039,2100,61,2,2,202601
149,224333,2100,12,1,1,77600
150,225252,2100,21,2,2,92400
151,225487,2100,114,2,0,5000
152,227059,2100,106,2,2,74000
153,228445,2100,0,1,0,0
154,228544,2100,26,2,2,76400
155,228918,2100,12,1,1,38100
156,229382,2100,400,1,1,14300
157,231288,2100,0,1,0,0
158,234021,2100,39,1,1,4000
159,236622,2100,160,1,1,42000
160,237769,2100,19,4,5,88000
161,237927,2100,0,1,0,0
162,240164,2100,0,1,0,0
163,241143,2100,158,2,2,106000
164,242305,2100,35,1,3,1e+05
165,242704,2100,131,2,2,99400
166,243099,2100,26,5,2,55000
167,243207,2100,153,3,2,77500
168,244154,2100,0,1,0,0
169,244732,2100,127,2,2,53400
170,245400,2100,19,1,1,18000
171,246096,2100,68,2,2,51800
172,247028,2100,74,2,1,101400
173,247683,2100,45,1,1,176000
174,248999,2100,151,4,2,89900
175,249365,2100,74,1,1,53000
176,249887,2100,109,1,1,0
177,249964,2100,0,1,0,0
178,250206,2100,0,1,0,0
179,250676,2100,0,1,0,0
180,251252,2100,21,2,2,9800
181,252645,2100,168,1,1,64500
182,253534,2100,26,4,3,73000
183,254904,2100,126,2,2,15500
184,255555,2100,247,1,1,0
185,255860,2100,78,1,0,9100
186,261627,2100,28,1,1,12400
187,262516,2100,48,3,2,120000
188,263497,2100,122,0,0,0
189,263931,2100,128,3,2,128000
190,267541,2100,0,1,0,0
191,270215,2100,57,2,0,40000
192,271872,2100,18,1,1,36200
193,272665,2100,135,1,2,45000
194,273486,2100,18,2,2,92000
195,273538,2100,20,2,2,45000
196,278253,2100,0,1,0,0
197,279449,2100,18,1,1,104000
198,281618,2100,123,1,1,12300
199,282514,2100,167,1,2,54600
200,282559,2100,169,2,1,61340
201,288136,2100,21,1,1,49000
202,288945,2100,0,1,0,0
203,290122,2100,153,3,3,139000
204,294216,2100,21,1,1,17300
205,294231,2100,151,1,1,337000
206,297467,2100,108,0,0,0
207,298154,2100,75,2,2,128400
208,298318,2100,16,4,4,133500
209,298815,2100,11,3,3,71900
210,300523,2100,32,3,3,57000
211,304594,2100,0,1,0,0
212,305981,2100,126,1,1,26400
213,308544,2100,88,1,1,38300
214,311956,2100,0,1,0,0
215,315672,2100,14,5,1,14100
216,316863,2100,80,1,1,37000
217,317190,2100,226,3,2,1e+05
218,317726,2100,30,4,1,34600
219,319878,2100,308,2,1,34900
220,320014,2100,41,1,1,26900
221,320216,2100,93,1,0,19300
222,321561,2100,83,1,2,24500
223,321844,2100,149,3,3,140320
224,324037,2100,0,1,0,0
225,328528,2100,81,4,2,201800
226,328810,2100,0,1,0,0
227,329100,2100,356,3,2,174000
228,331848,2100,65,3,3,42300
229,336189,2100,76,4,0,11000
230,337379,2100,268,0,0,0
231,337716,2100,131,1,1,10700
232,338729,2100,135,5,2,120200
233,340363,2100,150,1,1,79900
234,342044,2100,0,1,0,0
235,342563,2100,0,1,0,0
236,342884,2100,115,2,1,0
237,342898,2100,434,1,1,1400
238,345817,2100,21,2,1,33100
239,346359,2100,78,5,2,53000
240,347762,2100,0,1,0,0
241,350654,2100,0,1,0,0
242,352363,2100,0,1,0,0
